,Garden_OBJECTID,Building_OBJECTID,Distance_km
0,396,37532853,0.11698159316129994
1,805,37532853,0.40182805944961997
2,807,37532853,0.18970748481800062
3,1913,37532853,0.17233756368574968
4,2591,37532853,0.27558684996660043
5,8980,37532853,0.06780597960362054
6,14194,37532853,0.2692286097766564
