,OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים,geo
356,36678002,330,פקיעין,3.0, , ,3,1,4,2200,0, ,,180.06700134277344,67.6533630989769,"(220879.328, 625233.853900001)"
357,36678003,360,האמרכלים,21.0, , ,3,1,2,2200,0, ,,132.32217407226562,54.13353665825711,"(220879.328, 625233.853900001)"
358,36678004,0, ,3.0, , ,2,8,10,2200,345,מיכאל וציפורה פינס,,744.5324249267578,198.7691035587964,"(220598.319, 625338.289999999)"
359,36678005,353,רבנו תם,3.0, , ,2,14,13,2200,0, ,,520.9821472167969,134.63595092276665,"(220598.319, 625338.289999999)"
360,36678006,343,פרי חדש,44.0, , ,3,30,40,2200,328,רש''י,,1983.9315338134768,441.84399586939344,"(220474.7603, 632739.070699999)"
361,36678007,322,יוסף בן מתתיהו,12.0, , ,3,1,6,2200,0, ,,224.451904296875,69.65868170255973,"(220347.9698, 632721.481799999)"
362,36678008,343,פרי חדש,55.0, , ,4,1,4,2200,0, ,,115.33712768554688,47.07340040402876,"(220378.2863, 632730.716700001)"
363,36678009,346,יום טוב אלגזי,28.0, , ,4,2,4,2200,0, ,,395.54296875,118.71200412386492,"(220378.2863, 632730.716700001)"
364,36678010,346,יום טוב אלגזי,30.0, ,בי''כ עזרא דבאח,3,2,1,2200,0, ,,264.7850341796875,91.67926698227755,"(220378.2863, 632730.716700001)"
365,36678011,344,חפץ חיים,, , ,3,5,22,2200,0, ,,498.1729431152344,133.30863794768496,"(220453.611, 632718.427999999)"
366,36678012,345,מיכאל וציפורה פינס,29.0, , ,4,15,26,2200,346,יום טוב אלגזי,,1182.7065887451172,279.1581388857819,"(220453.611, 632718.427999999)"
367,36678013,376,דוד ילין,28.0, , ,4,7,19,2200,0, ,,1949.068145751953,435.1163599942532,"(220386.699, 632660.811100001)"
368,36678014,328,רש''י,28.0, , ,2,1,0,2200,322,יוסף בן מתתיהו,,194.8007049560547,61.43320594470816,"(220386.699, 632660.811100001)"
369,36678015,328,רש''י,39.0, , ,3,1,0,2200,322,יוסף בן מתתיהו,,350.4972381591797,95.47860816561284,"(220325.34, 632748.7404)"
370,36678016,328,רש''י,30.0, , ,2,1,4,2200,0, ,,251.44371032714844,85.33307232237229,"(220325.34, 632748.7404)"
371,36678017,328,רש''י,32.0, , ,4,1,5,2200,0, ,,159.21534729003906,53.62120084263909,"(220325.34, 632748.7404)"
372,36678018,328,רש''י,47.0, , ,3,2,5,2200,0, ,,169.6043243408203,58.43535190461122,"(220277.3649, 632761.872300001)"
373,36678019,328,רש''י,43.0, , ,2,1,0,2200,0, ,,95.27130126953124,43.62493874420663,"(220298.3607, 632760.631200001)"
