OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים
36678411,0351,סימה בליליוס,4, , ,3,1,0,2200,0000, ,,224.3897705078125,69.17270172207363
36678412,0351,סימה בליליוס,2, , ,3,5,16,2200,0000, ,,1413.9893188476562,290.72075411642027
36678413,0350,נתן שטראוס,13, , ,4,3,23,2200,0000, ,,849.2627868652344,202.2700725153873
36678414,0423,יצחק פראג,4, , ,2,2,7,2200,0000, ,,500.61390686035156,119.6543453317075
36678415,0403,בני ברית,16, , ,2,1,0,2200,0402,אתיופיה,,504.77476501464844,96.04630552184275
36678416,0187,חזנוביץ',2, , ,3,1,1,2200,0000, ,,387.8014831542969,83.8444383357919
36678417,0181,חיי אדם,3, , ,2,2,2,2200,0000, ,,326.385498046875,99.5479271620245
36678418,0350,נתן שטראוס,28, , ,3,1,5,2200,0000, ,,207.77012634277344,74.65229618707002
36678419,0350,נתן שטראוס,26, , ,1,1,1,2200,0000, ,,182.84335327148438,65.59059837353344
36678420,0350,נתן שטראוס,26, , ,1,1,0,2200,0000, ,,125.97894287109375,59.80126169619482
36678421,0181,חיי אדם,24, , ,1,1,0,2200,0000, ,,177.8360137939453,66.73256110104741
36678422,0181,חיי אדם,3, , ,1,6,6,2200,0000, ,,567.0405883789062,169.05848669552591
36678423,0181,חיי אדם,5, , ,1,5,5,2200,0000, ,,489.6531982421875,145.7722838163673
36678424,0181,חיי אדם,28, , ,6,3,34,2200,0000, ,,730.3098602294922,195.5171954520235
36678425,0181,חיי אדם,28, , ,4,5,4,2200,0000, ,,850.4844207763672,214.19737625174946
36678426,0181,חיי אדם,16, , ,2,4,17,2200,0000, ,,412.5643615722656,118.80685177701616
36678427,0181,חיי אדם,6, , ,3,1,2,2200,0000, ,,161.83106994628906,61.04914890558975
36678428,0187,חזנוביץ',3, , ,3,4,24,2200,0000, ,,819.6448211669922,208.41593554109622
36678429,0187,חזנוביץ',6, , ,2,1,0,2200,0000, ,,302.52130126953125,71.0460488045659
36678430,0403,בני ברית,18, , ,2,1,0,2200,0000, ,,190.0690155029297,64.8101874618382
36678431,0402,אתיופיה,17, , ,2,1,1,2200,0000, ,,170.35728454589844,56.30102930403504
36678432,0403,בני ברית,12, , ,2,1,1,2200,0000, ,,258.09124755859375,70.20477079255673
36678433,0403,בני ברית,14, , ,3,1,6,2200,0000, ,,296.8209686279297,91.04542087184208
36678434,0422,אביגדורי,6, , ,4,1,8,2200,0000, ,,193.4297637939453,67.63803992856626
36678435,0181,חיי אדם,36, , ,4,2,1,2200,0000, ,,832.3810272216797,227.30180830336116
36678436,1297,אברהם שטרן,33, , ,10,1,34,2200,0000, ,,281.5913391113281,86.62257432485136
36678437,1297,אברהם שטרן,31, , ,1,1,1,2200,0000, ,,244.1653060913086,62.81707878983366
36678438,1297,אברהם שטרן,31, , ,9,1,34,2200,0000, ,,460.57518005371094,115.86915766525611
36678439,1352,האייל,79, , ,5,12,113,2200,0000, ,,6330.198043823242,1231.367463915205
36678440,1352,האייל,8, , ,2,1,1,2200,0000, ,,193.19518280029297,62.37099325211352
36678441,1352,האייל,5, , ,2,5,5,2200,0000, ,,496.6813278198242,153.18908945099466
36678442,1354,הכפיר,37, , ,2,6,25,2200,0000, ,,577.2230834960938,138.275050739013
36678443,1354,הכפיר,53, , ,2,2,2,2200,0000, ,,182.63135528564453,75.08230826446638
36678444,1354,הכפיר,59, , ,2,2,2,2200,0000, ,,200.41133880615234,90.16101084720002
36678445,1354,הכפיר,61, , ,2,2,2,2200,0000, ,,215.4034194946289,96.08248289226493
36678446,1354,הכפיר,67, , ,3,4,4,2200,0000, ,,212.66454315185547,86.1313326325228
36678447,1354,הכפיר,36, , ,3,3,3,2200,0000, ,,312.7688217163086,118.41486664115548
36678448,1354,הכפיר,26, , ,2,1,1,2200,0000, ,,112.53749084472656,51.46369900365763
36678449,1354,הכפיר,30, , ,3,2,2,2200,0000, ,,286.9446716308594,86.13675419673554
36678450,1354,הכפיר,40, , ,2,2,2,2200,0000, ,,351.5601806640625,93.38562851349253
36678451,1307,גולומב,122, , ,2,2,2,2200,0000, ,,206.8735580444336,66.80398143348623
36678452,1354,הכפיר,49, , ,2,1,1,2200,0000, ,,110.2417221069336,53.57615435793185
36678453,1354,הכפיר,20, , ,3,4,4,2200,0000, ,,545.6833648681641,208.13844890341423
36678454,1352,האייל,17, , ,2,4,4,2200,0000, ,,735.7151489257812,260.1558721175112
36678455,1908,יובב,9, , ,1,1,1,2200,0000, ,,186.0580291748047,60.58615241167575
36678456,1354,הכפיר,17, , ,2,7,11,2200,0000, ,,649.5479507446289,215.39118330846676
36678457,1354,הכפיר,25, , ,2,5,7,2200,0000, ,,577.4562606811523,219.45965063237506
36678458,1352,האייל,9, , ,2,2,2,2200,0000, ,,304.57347106933594,147.22786079831653
36678459,1354,הכפיר,6, , ,2,4,4,2200,0000, ,,475.9107208251953,157.2198814219481
36678460,1908,יובב,21, , ,1,1,1,2200,0000, ,,134.1546401977539,53.019780929317434
36678461,1908,יובב,19, , ,2,2,2,2200,0000, ,,310.24239349365234,111.40662852923418
36678462,1307,גולומב,124, , ,1,1,1,2200,1908,יובב,,622.7091674804688,130.37678531066766
36678463,1908,יובב,3, , ,2,1,1,2200,0000, ,,118.26512908935547,45.55659936252827
36678464,3044,ערד,9, , ,2,2,2,2200,0000, ,,477.54781341552734,143.14923431861115
36678465,3044,ערד,10, , ,2,1,1,2200,0000, ,,230.75477600097656,84.88997519324307
36678466,1354,הכפיר,182, , ,2,3,3,2200,0000, ,,404.7938461303711,110.99435643226388
36678467,1354,הכפיר,168, , ,2,6,6,2200,0000, ,,931.0892715454102,243.9820735234192
36678468,1354,הכפיר,48, , ,2,8,8,2200,0000, ,,1239.3140182495117,262.00615824024413
36678469,3044,ערד,2, , ,2,4,4,2200,0000, ,,586.5485076904297,148.10377063602067
36678470,3044,ערד,5, , ,2,2,2,2200,0000, ,,182.12810516357422,71.07231424325354
36678471,1908,יובב,5, , ,2,2,2,2200,0000, ,,331.36141204833984,101.03695894783893
36678472,3041,רקם,1, , ,2,1,1,2200,0000, ,,187.98725128173828,67.80870974990238
36678473,3041,רקם,13, , ,2,1,1,2200,0000, ,,276.8803939819336,77.66096913969893
36678474,3041,רקם,11, , ,2,1,1,2200,0000, ,,133.8177032470703,62.42737208484762
36678475,3041,רקם,19, , ,2,1,1,2200,0000, ,,231.0838394165039,76.92110371800806
36678476,1908,יובב,1, , ,2,2,2,2200,0000, ,,513.0161056518555,136.17170777552937
36678477,1908,יובב,7, , ,2,2,2,2200,0000, ,,127.48870086669922,53.98169496456427
36678478,1908,יובב,29, , ,2,2,2,2200,0000, ,,515.882209777832,124.24502130965085
36678479,3041,רקם,15, , ,2,1,1,2200,0000, ,,150.53401947021484,71.37846655979824
36678480,1367,אברהם אלמליח,0, , ,1,1,0,2200,0000, ,,103.82279968261719,40.89289816364893
36678481,1367,אברהם אלמליח,143, , ,4,3,24,2200,0000, ,,485.0298156738281,99.61530908827129
36678482,1361,בר יוחאי,149, , ,2,9,9,2200,0000, ,,683.5859375,193.07904378462433
36678483,1349,חוזה סן מרטין,801, , ,4,3,3,2200,0000, ,,442.91807556152344,154.8568364937892
36678484,1349,חוזה סן מרטין,801, , ,4,1,1,2200,0000, ,,259.3728256225586,95.61914306335652
36678485,1361,בר יוחאי,151, , ,3,4,4,2200,0000, ,,298.3438949584961,118.52043813944852
36678486,1367,אברהם אלמליח,40,ע, ,2,4,21,2200,0000, ,,456.52901458740234,112.52741110084924
36678487,1349,חוזה סן מרטין,802, , ,3,1,0,2200,0000, ,,183.90060424804688,67.6901578944668
36678488,1367,אברהם אלמליח,0, , ,1,1,0,2200,0000, ,,381.47725677490234,97.516447547474
36678489,4202,,0, , ,2,1,2,2200,0000, ,,149.48583221435547,57.0204333466379
36678490,4202,,0, , ,1,1,3,2200,0000, ,,109.74835205078125,48.683136299771085
36678491,4202,,0, , ,1,3,8,2200,0000, ,,436.02540588378906,103.18975712625698
36678492,4202,,0, , ,1,1,1,2200,0000, ,,132.9658966064453,51.9898212970056
36678493,4202,,0, , ,2,1,2,2200,0000, ,,117.10877227783203,47.97096453500004
36678494,4202,,0, , ,2,4,9,2200,0000, ,,500.2874984741211,157.99180387624125
36678495,4202,,0, , ,2,1,3,2200,0000, ,,212.50872039794922,58.38664702601406
36678496,4202,,0, , ,1,1,1,2200,0000, ,,116.75678253173828,49.36014263726891
36678497,4202,,0, , ,1,1,2,2200,0000, ,,140.6772232055664,55.68269550149866
36678498,4202,,0, , ,2,3,5,2200,0000, ,,372.12439727783203,115.59545931249392
36678499,4202,,0, , ,3,1,1,2200,0000, ,,231.75181579589844,74.70621307448917
36678500,4202,,0, , ,3,1,1,2200,0000, ,,213.70232391357422,71.87377907491026
36678501,4202,,0, , ,2,1,1,2200,0000, ,,164.9156951904297,54.172234331609815
36678502,0000, ,0, , ,1,1,0,2200,0000, ,,284.85350036621094,76.45672511358033
36678503,0000, ,0, , ,1,1,0,2200,0000, ,,274.18231201171875,78.14915429611847
36678504,0000, ,0, , ,1,1,0,2200,0000, ,,252.78876495361328,78.9981833350455
36678505,0000, ,0, , ,1,1,0,2200,0000, ,,370.2908172607422,87.23483805837367
36678506,0000, ,0, , ,1,2,0,2200,0000, ,,844.5843353271484,146.14663180884278
36678507,0000, ,0, , ,1,1,0,2200,0000, ,,356.10186767578125,89.72637577639968
36678508,4202,,0, , ,1,1,0,2200,0000, ,,205.21763610839844,63.3057684499276
36678509,4202,,0, , ,1,1,0,2200,0000, ,,182.8102264404297,54.75357700531962
36678510,4202,,0, , ,2,1,2,2200,0000, ,,301.89881896972656,87.1147315337485
36678511,4202,,0, , ,1,1,2,2200,0000, ,,87.52264404296875,40.43601020505788
36678512,4202,,0, , ,1,1,2,2200,0000, ,,74.8686294555664,37.098790310814465
36678513,4202,,0, , ,1,1,1,2200,0000, ,,53.904747009277344,29.371516497525782
36678514,4202,,0, , ,1,1,1,2200,0000, ,,70.40064239501953,36.4635713668738
36678515,4202,,0, , ,2,1,1,2200,0000, ,,91.180419921875,39.5612862662136
36678516,4202,,0, , ,1,1,0,2200,0000, ,,170.74685668945312,55.530414841797615
36678517,4202,,0, , ,3,1,1,2200,0000, ,,123.91360473632812,47.76086562192018
36678518,4202,,0, , ,2,1,2,2200,0000, ,,262.2129898071289,83.82259487676285
36678519,4202,,0, , ,3,1,2,2200,0000, ,,319.9712905883789,84.16091855970717
36678520,0000, ,0, , ,1,1,0,2200,0000, ,,276.49037170410156,69.20831987092026
36678521,4202,,0, , ,4,1,1,2200,0000, ,,261.53467559814453,70.88595341884637
36678522,0000, ,0, , ,1,1,0,2200,0000, ,,247.19452667236328,70.779969512678
36678523,0000, ,0, , ,1,1,0,2200,0000, ,,283.3252410888672,82.66753035660082
36678524,4202,,0, , ,3,1,1,2200,0000, ,,102.75593566894531,40.631901633362446
36678525,0000, ,0, , ,2,1,2,2200,0000, ,,159.22371673583984,60.76415022894248
36678526,0000, ,0, , ,3,1,1,2200,0000, ,,279.2416229248047,93.31671249984319
36678527,1435,דב יוסף,0, , ,2,1,2,2200,0000, ,,295.2988586425781,85.57984347592512
36678528,1435,דב יוסף,0, , ,2,1,1,2200,0000, ,,308.87945556640625,84.40682225026525
36678529,1435,דב יוסף,0, , ,2,1,1,2200,0000, ,,307.1256103515625,87.85316553888627
36678530,1354,הכפיר,132, , ,3,7,7,2200,0000, ,,656.2278289794922,247.65409162618315
36678531,1354,הכפיר,104, , ,2,2,2,2200,0000, ,,244.57398986816406,105.1953593456317
36678532,1354,הכפיר,134, , ,2,2,2,2200,0000, ,,293.42848205566406,93.74336258319344
36678533,1354,הכפיר,138, , ,2,2,2,2200,0000, ,,275.84608459472656,87.61905285091004
36678534,1354,הכפיר,142, , ,3,2,2,2200,0000, ,,222.08959197998047,70.15284129639561
36678535,1351,הדישון,12, , ,6,2,12,2200,0000, ,,796.2484130859375,164.69899183839456
36678536,1352,האייל,66, , ,3,5,19,2200,0000, ,,1185.8263320922852,247.8746856086105
36678537,1352,האייל,65, , ,5,1,10,2200,1456,היען,,683.2223892211914,128.88145891644018
36678538,1352,האייל,61, , ,6,2,12,2200,1456,היען,,833.5730438232422,194.80245413004565
36678539,1354,הכפיר,116, , ,3,2,2,2200,0000, ,,231.84976959228516,106.60177389861798
36678540,1354,הכפיר,112, , ,3,4,4,2200,0000, ,,333.1073226928711,128.61628842839747
36678541,1354,הכפיר,81, , ,2,3,3,2200,0000, ,,375.55899810791016,146.4096852684635
36678542,1354,הכפיר,73, , ,3,3,3,2200,0000, ,,319.3932876586914,123.8957354364934
36678543,1354,הכפיר,76, , ,3,3,3,2200,0000, ,,322.8131866455078,101.9807954748659
36678544,1354,הכפיר,148, , ,3,2,2,2200,0000, ,,108.73284149169922,43.348196361380566
36678545,1354,הכפיר,93, , ,2,7,7,2200,0000, ,,605.9429473876953,165.48650074422008
36678546,1354,הכפיר,96, , ,3,4,4,2200,0000, ,,566.7111206054688,157.62485903701918
36678547,1354,הכפיר,100, , ,2,1,1,2200,0000, ,,110.21868896484375,50.7769354308886
36678548,1354,הכפיר,113, , ,2,1,1,2200,0000, ,,159.22309112548828,66.5961631277994
36678549,1354,הכפיר,119, , ,3,4,4,2200,0000, ,,419.84058380126953,157.67177782004765
36678550,1354,הכפיר,127, , ,3,5,5,2200,0000, ,,606.7482299804688,200.1935408646404
36678551,1354,הכפיר,107, , ,3,1,1,2200,0000, ,,133.29633331298828,58.63702165890268
36678552,1354,הכפיר,111, , ,3,1,1,2200,0000, ,,159.5173110961914,59.58819138315875
36678553,1354,הכפיר,98, , ,2,1,1,2200,0000, ,,156.22998046875,56.49623062737615
36678554,1356,הדב,17, , ,3,1,1,2200,0000, ,,154.84661865234375,55.773278841570914
36678555,1356,הדב,5, , ,3,1,1,2200,0000, ,,122.57781219482422,48.70165223443457
36678556,1354,הכפיר,137, , ,3,5,5,2200,0000, ,,569.7146987915039,193.25197425378408
36678557,1354,הכפיר,82, , ,3,4,4,2200,0000, ,,382.85192108154297,156.79882942706593
36678558,1297,אברהם שטרן,31, , ,10,1,34,2200,0000, ,,302.90093994140625,91.08384779614079
36678559,1297,אברהם שטרן,29, , ,10,1,34,2200,0000, ,,263.7788314819336,81.57512403581117
36678560,1297,אברהם שטרן,26, , ,5,1,18,2200,0000, ,,195.6816177368164,56.58441398466115
36678561,1297,אברהם שטרן,24, , ,2,4,24,2200,0000, ,,634.7231369018555,151.31501369032793
36678562,1456,היען,9, , ,2,1,1,2200,0000, ,,180.27434539794922,84.55321130501682
36678563,1354,הכפיר,229, , ,3,1,1,2200,0000, ,,105.84684753417969,42.41792903185498
36678564,1456,היען,14, , ,2,1,2,2200,0000, ,,138.38092803955078,56.635839758004565
36678565,1352,האייל,29, , ,3,1,2,2200,1456,היען,,201.0859603881836,73.83370912348848
36678566,1352,האייל,31, , ,2,1,1,2200,0000, ,,173.46544647216797,61.72325907670941
36678567,1352,האייל,35, , ,2,1,1,2200,0000, ,,197.9453582763672,71.68939575798095
36678568,1352,האייל,37, , ,2,1,1,2200,0000, ,,189.69052124023438,73.92753834159544
36678569,1456,היען,12, , ,2,1,1,2200,0000, ,,155.22100067138672,54.40165849373563
36678570,1351,הדישון,18, , ,6,1,12,2200,0000, ,,463.3497085571289,138.51069964271448
36678571,1340,ניתאי הארבלי,2, , ,2,1,2,2200,1337,יהודה הנשיא,,234.79515075683594,79.88299637492726
36678572,1337,יהודה הנשיא,1, , ,2,3,0,2200,0000, ,,948.6462554931641,221.77333338716187
36678573,1338,ניקנור,3, , ,1,1,1,2200,0000, ,,174.96966552734375,56.32895763106976
36678574,1308,יעקב פת,0, , ,1,1,0,2200,0000, ,,317.9704132080078,85.34966538315663
36678575,1338,ניקנור,3, , ,2,2,2,2200,0000, ,,399.8419647216797,126.08743889495247
36678576,1338,ניקנור,3, , ,2,1,0,2200,0000, ,,527.2983703613281,92.52374284439136
36678577,1363,חננאל,15, , ,3,1,2,2200,0000, ,,188.62765502929688,75.43019617654019
36678578,1338,ניקנור,218, , ,4,3,24,2200,0000, ,,632.7550201416016,181.41368878380314
36678579,1338,ניקנור,15, , ,2,1,2,2200,1363,חננאל,,223.78453063964844,75.05496495098858
36678580,1363,חננאל,17, , ,2,1,3,2200,0000, ,,242.01907348632812,75.4010201121385
36678581,1363,חננאל,23, , ,2,1,2,2200,0000, ,,310.35595703125,89.58783458863236
36678582,0000, ,16, , ,3,2,4,2200,1363,חננאל,,114.814697265625,46.83941096092397
36678583,1415,התקופה,10,ע, ,6,1,12,2200,0000, ,,284.18963623046875,77.1165396051245
36678584,1415,התקופה,12, , ,6,1,12,2200,0000, ,,309.77207946777344,97.50290069534965
36678585,1415,התקופה,16, , ,6,1,12,2200,0000, ,,306.15794372558594,80.86092299590138
36678586,1415,התקופה,16, , ,9,2,36,2200,0000, ,,1102.9564971923828,235.58705420648658
36678587,1415,התקופה,8, , ,6,1,12,2200,0000, ,,398.5322570800781,96.81592149078823
36678588,0000, ,18, , ,1,1,9,2200,0000, ,,302.3415832519531,90.89492079663151
36678589,1340,ניתאי הארבלי,8, , ,2,1,4,2200,0000, ,,234.64414978027344,69.62053777090887
36678590,1310,אלעזר בן יאיר,3, , ,2,2,3,2200,0000, ,,253.27491760253906,72.13332172425201
36678591,1309,קנאי הגליל,5, , ,2,1,1,2200,0000, ,,139.29757690429688,63.75740052827272
36678592,1310,אלעזר בן יאיר,10, , ,3,2,2,2200,0000, ,,339.95921325683594,114.60916445131825
36678593,1309,קנאי הגליל,8, , ,2,2,4,2200,0000, ,,346.5858154296875,95.21369200620448
36678594,1309,קנאי הגליל,10, , ,3,2,3,2200,0000, ,,220.21621704101562,68.32137973254511
36678595,1309,קנאי הגליל,12, , ,3,2,5,2200,0000, ,,228.38197326660156,80.75615167853854
36678596,1310,אלעזר בן יאיר,8, , ,3,2,5,2200,0000, ,,327.5231628417969,98.00450140751984
36678597,1337,יהודה הנשיא,16, , ,2,2,2,2200,0000, ,,488.4745330810547,165.27503494288752
36678598,1337,יהודה הנשיא,14, , ,2,2,2,2200,0000, ,,284.61285400390625,93.50829184933589
36678599,1337,יהודה הנשיא,10, , ,3,2,2,2200,0000, ,,314.6504364013672,85.98816396732593
36678600,1310,אלעזר בן יאיר,6, , ,3,2,2,2200,0000, ,,267.6614227294922,84.84298540294407
36678601,1310,אלעזר בן יאיר,4, , ,3,2,5,2200,0000, ,,348.6259765625,107.43533048955649
36678602,1309,קנאי הגליל,4, , ,2,4,6,2200,0000, ,,499.6356201171875,144.74253528467904
36678603,1309,קנאי הגליל,1, , ,2,1,2,2200,1337,יהודה הנשיא,,245.23509216308594,95.3284476948039
36678604,1309,קנאי הגליל,2, , ,2,2,4,2200,0000, ,,343.39349365234375,95.06461328171612
36678605,1310,אלעזר בן יאיר,2, , ,3,2,5,2200,1337,יהודה הנשיא,,266.0502624511719,68.86667017772139
36678606,1340,ניתאי הארבלי,6, , ,2,1,3,2200,0000, ,,261.64752197265625,99.35599473824323
36678607,1340,ניתאי הארבלי,4, , ,2,1,4,2200,0000, ,,303.3172149658203,74.8384526613524
36678608,1337,יהודה הנשיא,4, , ,2,1,1,2200,0000, ,,325.23101806640625,115.38683883679182
36678609,1340,ניתאי הארבלי,7, , ,1,1,0,2200,0000, ,,370.1343994140625,95.01111854269088
36678610,1335,ברניקי,2, , ,2,2,6,2200,0000, ,,322.89939880371094,95.70974259500245
36678611,1337,יהודה הנשיא,15, , ,3,1,4,2200,0000, ,,226.3536376953125,88.9036474508378
36678612,1337,יהודה הנשיא,13, , ,3,1,4,2200,0000, ,,198.22189331054688,77.78052319557214
36678613,1337,יהודה הנשיא,13, , ,2,1,4,2200,0000, ,,169.57125854492188,54.92917376376812
36678614,1335,ברניקי,10, , ,2,1,1,2200,0000, ,,264.3420715332031,70.57908061668192
36678615,1335,ברניקי,14, , ,3,2,2,2200,0000, ,,263.2341613769531,88.52653204748957
36678616,1335,ברניקי,6, , ,1,1,0,2200,0000, ,,120.97846984863281,47.63310316005832
36678617,1335,ברניקי,8, , ,3,3,3,2200,0000, ,,343.7522277832031,112.66105185738037
36678618,1335,ברניקי,12, , ,2,2,2,2200,0000, ,,225.17282104492188,79.61982452657568
36678619,1335,ברניקי,14, , ,2,2,2,2200,0000, ,,282.17539978027344,114.77485852072493
36678620,1335,ברניקי,18, , ,2,1,0,2200,0000, ,,132.9946746826172,57.01933259910637
36678621,1335,ברניקי,16, , ,2,2,4,2200,0000, ,,287.89549255371094,108.08820122825139
36678622,1337,יהודה הנשיא,1, , ,2,2,0,2200,0000, ,,628.4785003662109,202.97839304340636
36678623,4384,א שיפא,0, , ,1,1,2,2200,0000, ,,128.89144897460938,49.024766413445505
36678624,4398,אל קד'איל,0, , ,1,1,0,2200,0000, ,,201.23623657226562,63.741289082122705
36678625,4398,אל קד'איל,0, , ,1,1,0,2200,0000, ,,156.11000061035156,52.3743308756364
36678626,4398,אל קד'איל,0, , ,1,1,0,2200,0000, ,,176.91439056396484,57.14863743292762
36678627,0000, ,0, , ,1,1,0,2200,0000, ,,269.25272369384766,79.27044500194818
36678628,0000, ,0, , ,1,1,0,2200,0000, ,,250.2195281982422,66.7142484356017
36678629,0000, ,0, , ,1,1,0,2200,0000, ,,261.06292724609375,84.87127326911049
36678630,0000, ,0, , ,1,1,0,2200,0000, ,,241.56761169433594,67.7503299402251
36678631,0000, ,0, , ,1,1,0,2200,0000, ,,236.74121856689453,68.85550050607428
36678632,4384,א שיפא,0, , ,1,1,2,2200,0000, ,,95.70585632324219,49.367409962344624
36678633,4384,א שיפא,0, , ,1,1,2,2200,0000, ,,98.0240478515625,49.520114248999974
36678634,4384,א שיפא,0, , ,2,1,1,2200,0000, ,,55.50640869140625,35.055442710893324
36678635,4384,א שיפא,0, , ,1,1,0,2200,0000, ,,67.99264526367188,41.44039968219437
36678636,0000, ,0, , ,1,1,0,2200,0000, ,,143.9758758544922,60.75093373298221
36678637,1435,דב יוסף,0, , ,2,1,2,2200,0000, ,,150.38031005859375,54.4198852178239
36678638,1435,דב יוסף,0, , ,2,2,3,2200,0000, ,,314.31480407714844,107.75138428260527
36678639,1396,מוריס פישר,19, , ,4,5,40,2200,0000, ,,1157.1273803710938,226.37362025027576
36678640,4398,אל קד'איל,0, , ,2,1,1,2200,0000, ,,193.5546112060547,58.13129734391386
36678641,4398,אל קד'איל,0, , ,2,1,2,2200,0000, ,,438.8115539550781,127.7395751182346
36678642,4398,אל קד'איל,0, , ,2,1,2,2200,0000, ,,231.47467041015625,80.55334576149377
36678643,4285,איחוד הכפר,0, , ,2,2,3,2200,0000, ,,355.7615203857422,90.6837412527229
36678644,4398,אל קד'איל,0, , ,3,1,2,2200,0000, ,,238.06407165527344,76.81831446876097
36678645,4285,איחוד הכפר,0, , ,3,1,2,2200,0000, ,,360.6526184082031,77.8099435166871
