OBJECTID,סמל רחוב,שם רחוב,מספר בית,קוד שימוש,שימוש במבנה,מספר קומות,מספר כניסות,מספר דירות,שכבה,קוד רחוב 2,שם רחוב 2,Shape,שטח מעטפת במטר מרובע,היקף מעטפת במטרים
36678214,1511,אחד העם,22, , ,2,1,1,2200,0000, ,,196.2360382080078,66.47213245127269
36678215,0813,ארלוזורוב,15, , ,3,1,1,2200,0000, ,,219.51409912109375,65.17555060107027
36678216,0831,עובדיה מברטנורה,5, , ,2,1,1,2200,0813,ארלוזורוב,,116.91448974609375,49.30204915488174
36678217,0831,עובדיה מברטנורה,6, , ,3,1,1,2200,0000, ,,210.77108764648438,67.86699289403987
36678218,0813,ארלוזורוב,22, , ,2,1,1,2200,0000, ,,223.17491149902344,64.55675206667779
36678219,0813,ארלוזורוב,24, , ,2,1,1,2200,0000, ,,196.5101776123047,62.418803210927365
36678220,1514,זאב ז'בוטינסקי,44, , ,3,1,0,2200,0832,שלמה מולכו,,210.8013916015625,68.67602237559585
36678221,0000, ,14, , ,3,2,7,2200,0813,ארלוזורוב,,224.77940368652344,73.00403258724386
36678222,0808,דרך עזה,15, ,עזה,3,1,6,2200,0000, ,,196.21075439453125,60.2405000904356
36678223,0817,בנימין מטודלה,6, , ,3,1,8,2200,0000, ,,178.85562133789062,62.33821106440707
36678224,0812,אלפסי,17, , ,4,1,4,2200,0000, ,,212.40548706054688,72.42483364835199
36678225,0814,רד''ק,7, , ,3,1,7,2200,0000, ,,213.3838348388672,68.33980089758404
36678226,0808,דרך עזה,36, , ,3,1,10,2200,0000, ,,207.86386108398438,67.99401274653357
36678227,0808,דרך עזה,34, , ,3,1,6,2200,0000, ,,199.67396545410156,65.0835745760969
36678228,0808,דרך עזה,0, , ,1,1,0,2200,0000, ,,164.73915100097656,55.28923786012959
36678229,0808,דרך עזה,32, , ,3,1,12,2200,0000, ,,214.5647430419922,74.64149039614928
36678230,0814,רד''ק,8, , ,3,1,8,2200,0000, ,,215.15142822265625,73.43594438081516
36678231,1405,טשרניחובסקי,57, , ,4,2,16,2200,0000, ,,315.8317108154297,95.97369078400841
